id,display_name,price,cpu_socket,form_factor,max_memory,num_memory_slots,colour
439cc6f2-efbb-44fe-a28c-867bf06c2980,MSI MAG B760M MORTAR WIFI,159.99,LGA1700,Micro ATX,192,4,Black / Silver
7c165cec-15b1-4901-b7c7-b057618e88e5,ASRock H610M-ITX/ac,118.99,LGA1700,Mini ITX,64,2,Silver / Black
5ea67281-2f55-4402-b519-df414e67cef7,Asus PRIME A620-PLUS WIFI,139.99,AM5,ATX,192,4,Silver / Black
171bc678-4d4b-49ec-b67a-3bcfd3d37280,Gigabyte B760I AORUS PRO,209.99,LGA1700,Mini ITX,96,2,Silver / Black
3178d47e-2e45-4017-9d33-030f63c9151c,MSI PRO B760M-A WIFI DDR4,149.99,LGA1700,Micro ATX,128,4,Black
47b9bedc-4a34-48ba-8358-85a42e5dc750,Asus TUF GAMING B450-PLUS II,119.99,AM4,ATX,128,4,Black
9f3c5e0e-2e9e-499b-ac2e-21f5df70d8f3,ASRock A520M-ITX/ac,104.99,AM4,Mini ITX,64,2,Black / Silver
09a5f4a7-2a9d-4a1a-b905-78da10c76acb,MSI MPG B650 CARBON WIFI,311.47,AM5,ATX,192,4,Black
33424c98-4f93-4412-bc41-4fe9047566a3,Asus PRIME B660-PLUS D4,164.15,LGA1700,ATX,128,4,Silver / Black
54b70109-418a-49ab-b937-1f52cb42fa6e,ASRock X570 Phantom Gaming 4,109.99,AM4,ATX,128,4,Black / Silver
05ddd5a3-f2e0-4358-bfe5-a6d77ba67751,ASRock Z790 PG LIGHTNING,179.99,LGA1700,ATX,192,4,Black
26164732-567a-4ba2-bf2d-d0c016a22554,Asus PRIME B650-PLUS,179.99,AM5,ATX,192,4,Black / Silver
f5d39d30-954a-49b8-9ec2-4540fd1ee048,Gigabyte X670E AORUS MASTER (rev. 1.0),469.99,AM5,EATX,192,4,Black / Silver
ce49dbd7-d54d-4424-bde3-9e31fdb9f9f1,Gigabyte Z790 AORUS MASTER,449.99,LGA1700,EATX,192,4,Black / Silver
c0659c04-1bed-49e7-8eb0-4f0d446defe2,MSI B560M PRO-E,137.99,LGA1200,Micro ATX,64,2,Black
621e9c78-9850-4077-b738-b0f3b5308874,Asus ROG STRIX TRX40-XE GAMING,,sTRX4,ATX,256,8,Black
efe21aee-c00e-4ff7-a7ae-e015c05e2123,ASRock B450M Pro4,125.2,AM4,Micro ATX,128,4,Black / Silver
25499cbc-9856-4f52-84c3-07b5c048755b,Gigabyte Z790 UD AX,199.99,LGA1700,ATX,192,4,Black
f6fe9a3b-cc97-4948-a207-59dcd0621902,MSI PRO B550-VC,139.99,AM4,ATX,128,4,Black
43720a70-401d-4bfe-b4c1-82a9d421adba,Asus PRIME A520M-A II/CSM,97.0,AM4,Micro ATX,128,4,Silver / Black
92e7cda7-f277-435d-b95c-9801ac48c360,Asus ROG STRIX X670E-F GAMING WIFI,419.99,AM5,ATX,192,4,Black / Silver
2a29eab9-ca96-4b72-9574-afac7ec94b0b,Asus ROG STRIX Z690-I GAMING WIFI,219.99,LGA1700,Mini ITX,96,2,Black / Silver
e0d9a985-ee3d-4557-b64d-d62155745b77,ASRock B650 PRO RS,235.32,AM5,ATX,192,4,Black / Silver
920970bc-074b-4aeb-bc1c-93669631b3c4,Asus ROG MAXIMUS Z790 DARK HERO,699.99,LGA1700,ATX,192,4,Black
360b2920-9935-4e65-a838-a9909fe5ac1d,ASRock B760M-HDV/M.2,97.98,LGA1700,Micro ATX,96,2,White / Black
952bceda-955b-4ecc-87ce-7e846fa133ea,MSI MEG X670E GODLIKE,1261.66,AM5,EATX,192,4,Black
43936b8a-a98e-4792-a7b7-06a00e31c3b3,Asus TUF GAMING B650M-PLUS WIFI,209.99,AM5,Micro ATX,192,4,Black
a088ebcc-cf01-46e5-b8c4-d80237cd13fb,MSI PRO B550M-P GEN3,122.25,AM4,Micro ATX,128,4,Black
710d6fb2-c5fd-48f3-b054-21d3bde13026,Asus PRIME Z390-A,349.99,LGA1151,ATX,128,4,Silver / Black
cb4324e4-f2c9-4b79-a767-9c0c65f2134c,Gigabyte B760M DS3H DDR4,109.99,LGA1700,Micro ATX,128,4,Black
4c99499c-930a-47c5-a427-74d07ccf3c8f,Asus ROG STRIX Z790-F GAMING WIFI,339.99,LGA1700,ATX,192,4,Black
14bfd33a-00de-4a9c-bb75-4e6217c2e369,Gigabyte B450M DS3H,,AM4,Micro ATX,128,4,Black / Silver
aed84539-1bc6-47af-9b24-2169643ad70c,MSI MPG Z690 FORCE WIFI,225.97,LGA1700,ATX,192,4,Silver / Black
3dd89212-81a9-4817-8a8f-c800b8bf49c8,Asus PRIME B550M-K,112.99,AM4,Micro ATX,128,4,Black / White
c3c36500-8355-4491-be95-c37d2a033e75,Asus TUF GAMING B550-PLUS,155.44,AM4,ATX,128,4,Black
f58a9401-4a3e-4909-9e1d-f78997290e83,Gigabyte B760M DS3H AX DDR4,153.44,LGA1700,Micro ATX,128,4,Black
8153dd4a-8c2f-4fa7-af87-dd504f115f96,MSI MPG B760I EDGE WIFI,199.99,LGA1700,Mini ITX,96,2,Black / Silver
dbe457c6-b101-4a79-b590-b8e2bd4e8ced,Gigabyte B660M AORUS ELITE AX DDR4,139.99,LGA1700,Micro ATX,128,4,Black
a0059491-5adc-4e80-a436-28a00cf68513,Asus ROG STRIX Z790-A GAMING WIFI D4,299.99,LGA1700,ATX,128,4,Black / Silver
