id,display_name,price,core_count,core_clock,boost_clock,tdp,integrated_graphics,has_smt
2c58ad20-2e4c-4d29-83d5-036cd90590e7,Intel Core i5-11600K,219.99,6,3.9,4.9,125,Intel UHD Graphics 750,1
5f607266-54e6-4143-af56-6b2ab8917797,Intel Core i9-10850K,285.73,10,3.6,5.2,125,Intel UHD Graphics 630,1
3d2e397b-a818-429d-92e2-a01808085b23,Intel Core i7-4790K,,4,4.0,4.4,88,Intel HD Graphics 4600,1
586e1f65-90bd-451c-992f-41cdc83ea48b,AMD Ryzen 5 3400G,139.99,4,3.7,4.2,65,Radeon Vega 11,1
36a3f4b6-d7e6-4251-8bb4-561a5eacd125,AMD Ryzen 3 3100,166.38,4,3.6,3.9,65,,1
7783211f-ecf7-4dcd-b641-7a6c518e769f,Intel Core i5-8400,160.0,6,2.8,4.0,65,Intel UHD Graphics 630,0
bf1d9ee9-35fa-4ae6-8f37-a070627d98e3,Intel Core i7-11700F,211.67,8,2.5,4.9,65,,1
8f5af0d3-54e0-42c9-996a-779a3dd9a1e7,Intel Core i7-10700F,218.5,8,2.9,4.8,65,,1
a639c8a9-4d1a-41cb-b07e-e3f85b0d6257,AMD Ryzen 9 3950X,525.0,16,3.5,4.7,105,,1
92f26d9c-ea30-4795-8f99-7c10e7bc8b20,Intel Core i7-8700,270.0,6,3.2,4.6,65,Intel UHD Graphics 630,1
81afe082-e624-4c65-89af-09ee68b21176,Intel Core i7-4770,75.0,4,3.4,3.9,84,Intel HD Graphics 4600,1
4a24936b-200a-454f-8256-a2a9b44549e1,Intel Core i9-14900KF,574.0,24,3.2,6.0,125,,1
51c6aaa6-e7ee-443d-baf4-23879606dd6d,Intel Core i7-7700,197.43,4,3.6,4.2,65,Intel HD Graphics 630,1
4017b0f3-49d2-47b8-a1d1-f0dd0d45413c,Intel Core i5-6600K,140.0,4,3.5,3.9,91,Intel HD Graphics 530,0
a78a0778-0b14-4597-90b8-5fafb44ca46d,Intel Core i9-13900,567.99,24,2.0,5.6,65,Intel UHD Graphics 770,1
911ee7e9-8747-4511-a77b-b7c8118da049,Intel Core i9-12900KS,477.99,16,3.4,5.5,150,Intel UHD Graphics 770,1
96d82355-966c-46ac-95e4-e26986b14155,Intel Core i7-12700,304.0,12,2.1,4.9,65,Intel UHD Graphics 770,1
339fdf42-8388-4153-98b9-20cdee9d605c,AMD Ryzen 5 1600 (14nm),155.0,6,3.2,3.6,65,,1
607fc4c5-4767-46c3-a175-3368b3ad8785,AMD Ryzen 5 3600,174.08,6,3.6,4.2,65,,1
52912959-30fb-4b82-994a-ce64ca7ef54e,Intel Core i5-6500,116.47,4,3.2,3.6,65,Intel HD Graphics 530,0
d14ebb24-02fa-440b-a0e7-bb28cdb53130,Intel Core i5-11400,158.98,6,2.6,4.4,65,Intel UHD Graphics 730,1
9308c5b3-ccfd-43e8-bbeb-61abfa3932a3,Intel Core i7-6700,210.0,4,3.4,4.0,65,Intel HD Graphics 530,1
1fa3ac0a-ae4f-48c6-ab4a-16bb3dde2b7a,Intel Core i5-14600KF,304.0,14,3.5,5.3,125,,1
419b3467-d343-4294-8e82-e2458ba61cdb,AMD Ryzen 7 2700,185.19,8,3.2,4.1,65,,1
7da175e1-ed83-4803-9adf-cec845904c75,Intel Core i9-9900KF,314.99,8,3.6,5.0,95,,1
937aed5d-26d6-46d2-b105-6628e8a740f1,Intel Core i7-10700KF,238.21,8,3.8,5.1,125,,1
b92582a7-485b-4cac-b081-f850aee73927,Intel Core i3-4330,21.0,2,3.5,,54,Intel HD Graphics 4600,1
eb2a64ef-30f2-4df7-9a65-e31e706e16ef,Intel Core i9-11900KF,270.0,8,3.5,5.3,125,,1
46d94ab4-9aba-4de7-ba82-d360a5ecb74c,AMD Ryzen 5 3600,129.99,6,3.6,4.2,65,,1
996a13c5-2772-4789-a797-861d75aaee65,Intel Core i5-14600K,328.0,14,3.5,5.3,125,Intel UHD Graphics 770,1
1660d100-098f-448c-ab13-2783e05b51fd,Intel Core i7-3770,120.0,4,3.4,,77,Intel HD Graphics 4000,1
84fc617e-f7ab-49dc-aa69-df8eeab90183,AMD Threadripper 3960X,1450.0,24,3.8,4.5,280,,1
e5e5576c-4820-4f01-ae72-afd2c669ea5f,Intel Core i3-10100,111.1,4,3.6,4.3,65,Intel UHD Graphics 630,1
0c5d660a-abb4-45bb-9747-9e78f729daab,Intel Core i7-10700,243.73,8,2.9,4.8,65,Intel UHD Graphics 630,1
c4ce6123-52cd-4468-8333-acfa7d7a2fe4,Intel Core i5-8600K,213.0,6,3.6,4.3,95,Intel UHD Graphics 630,0
8ad0f592-26f4-4e93-ae77-409e647abe5a,Intel Core i5-4690K,90.0,4,3.5,3.9,88,Intel HD Graphics 4600,0
a44e4a21-c205-4f56-8cec-68b7c7596288,AMD Athlon 3000G (14nm),69.44,2,3.5,,35,Radeon Vega 3,1
67489ddd-2f2a-4e05-a5f9-e8e7a0682595,Intel Core i9-13900F,499.0,24,2.0,5.6,65,,1
86d12f44-8098-40fc-a5d3-0e715df20b1c,AMD Ryzen 5 1600 (12nm),114.99,6,3.2,3.6,65,,1
8a1a5d4c-525d-4e67-aa06-be2bf1ce1632,Intel Core i5-7400,75.98,4,3.0,3.5,65,Intel HD Graphics 630,0
9f7b4849-8ceb-4bb9-8e2c-1f0003fb1d41,AMD Ryzen 5 3600,,6,3.6,4.2,65,,1
240f1b70-a43c-4359-bd52-5a679531c9fd,Intel Core i3-9100F,115.0,4,3.6,4.2,65,,0
a025bbec-ccad-4a81-a1e4-14b3f8ccdf2f,Intel Core i7-11700,237.99,8,2.5,4.9,65,Intel UHD Graphics 750,1
73619186-a39b-46f2-bf5c-a28bc42d6698,Intel Core i7-11700KF,269.86,8,3.6,5.0,125,,1
139c1ba0-47c9-4cf5-93ee-67075ebcdac9,AMD Ryzen 3 2200G,150.0,4,3.5,3.7,65,Radeon Vega 8,0
6f071f40-73df-48bb-aa7b-962aa7d2342c,Intel Celeron G6900,76.0,2,3.4,,46,Intel UHD Graphics 710,0
d0f7e88c-11f1-4b4d-9a77-526a50658e97,AMD Ryzen 5 2400G,135.0,4,3.6,3.9,65,Radeon Vega 11,1
b6241c49-aedb-46dc-a57e-093333f64109,Intel Core i5-7500,125.95,4,3.4,3.8,65,Intel HD Graphics 630,0
09e2353d-16fb-4d74-8b10-941a840cd9a1,Intel Core i7-9700,290.26,8,3.0,4.7,65,Intel HD Graphics 630,0
08435f38-01c9-44fb-9cae-6d79165273a5,Intel Pentium G3260,,2,3.3,,53,Intel HD Graphics,0
c4b239ad-dc8d-4b9f-b344-8f2dbaa962c3,Intel Core i7-3770K,122.0,4,3.5,,77,Intel HD Graphics 4000,1
10fc84a3-23c2-42fe-b720-ecf0230f51fc,Intel Core i3-8100,110.0,4,3.6,,65,Intel UHD Graphics 630,0
d80acfd4-ca33-4610-bf9d-3d54243a89b6,Intel Core i5-7600K,164.0,4,3.8,4.2,91,Intel HD Graphics 630,0
2f393f76-83e5-4ba5-869c-7e96a5692345,Intel Core i7-4770K,145.0,4,3.5,3.9,84,Intel HD Graphics 4600,1
914e1c7a-8ecf-441e-b11f-18760f28ffcd,Intel Core i9-9980XE,2004.51,18,3.0,4.4,165,,1
48a8905c-8ce8-424a-97a9-30128a545cf1,Intel Core i7-9700F,305.18,8,3.0,4.7,65,,0
95d55ea7-8176-414e-b7e9-7371a04550c1,AMD Ryzen 7 1700,215.0,8,3.0,3.7,65,,1
aa816251-2bc3-4f60-b197-e46f33baaa9f,AMD FX-8350,,8,4.0,,125,,0
dc962c0e-fb89-44e8-998b-1a34fd0295a4,Intel Core i5-4460,82.46,4,3.2,3.4,84,Intel HD Graphics 4600,0
98d54c84-3d96-4705-83b6-e92a1b5a555f,Intel Xeon E5-2699 V4,490.0,22,2.2,3.6,145,,1
5e2c5f08-1d58-41b2-9264-577a72c0df3e,Intel Xeon E5-2687W V4,2429.89,12,3.0,3.5,160,,1
4555f3cb-e867-4fb7-b98e-1596167f58fc,Intel Core i5-10600KF,175.99,6,4.1,4.8,125,,1
967f3cd8-580d-4c4d-ad23-2783b1cd7a3b,Intel Core i7-4790,144.5,4,3.6,4.0,84,Intel HD Graphics 4600,1
83e78627-a74b-4983-843d-7d17028f25ec,Intel Core i9-9900KS,1989.0,8,4.0,5.0,127,Intel UHD Graphics 630,1
dfb54306-ec02-4961-8f74-b7d0c1705bdb,AMD Ryzen 7 1700X,251.0,8,3.4,3.8,95,,1
a725e143-16d5-4ed3-a6cb-df50fbd4e0b0,Intel Core i9-10900KF,317.67,10,3.7,5.3,125,,1
986a080c-3bba-4c5b-b756-ab82052908ac,Intel Core i5-12500,233.99,6,3.0,4.6,65,Intel UHD Graphics 770,1
21f2e3d1-a64b-447d-b728-4af2ce647452,Intel Celeron G5900,45.28,2,3.4,,58,Intel UHD Graphics 610,0
ce39e3c2-b084-4483-b3da-a37752b747ba,Intel Core i5-4590,,4,3.3,3.7,84,Intel HD Graphics 4600,0
b85f7234-eee9-49bb-bc34-dc8b3aa99245,Intel Celeron G4900,48.59,2,3.1,,65,Intel UHD Graphics 610,0
c620da06-6f71-4d90-b0c5-969d97bd29dc,AMD Ryzen 9 3900XT,450.0,12,3.8,4.7,105,,1
93e59daf-056e-44de-b340-c75051ad4589,AMD Ryzen 5 1600X,140.0,6,3.6,4.0,95,,1
fea481f5-3d85-45b8-8e68-4950e6010a75,AMD Ryzen 7 3700X,,8,3.6,4.4,65,,1
042dbc88-0102-4ed2-89d4-7d440dcc6860,Intel Core i5-3470,156.68,4,3.2,,77,Intel HD Graphics 2500,0
e394b4ad-39a8-40ce-967f-933afe079fa7,AMD Ryzen 5 3600XT,365.95,6,3.8,4.5,95,,1
