id,display_name,price,type,efficiency,wattage,modular,colour
3a68dc55-9671-4695-ba26-5154aac91c12,Athena Power AP-MTFX30,36.99,TFX,,300,False,
6fe7f18a-b8d9-450f-976a-382d715050fb,be quiet! Dark Power Pro 13,459.9,ATX,titanium,1600,Full,Black
45299d23-287b-4f4b-8f28-bb5aaec9b434,Thermaltake Toughpower GF1 PE,117.99,ATX,gold,750,Full,Black
44080ac8-9a01-45c0-bbc8-fd670e33711f,be quiet! System Power 10,138.11,ATX,bronze,650,False,Black
bb317808-185a-4b9a-9560-3516955b3bdc,CoolMax I-500,26.68,ATX,,500,False,
15b26985-d4f0-4e1a-9e04-a7bda218c385,Cooler Master MasterWatt 550,68.86,ATX,bronze,550,Semi,
817d7477-06e7-4839-9b43-270230e01460,SeaSonic FOCUS GX,105.65,ATX,gold,850,Full,Black
90f52ab8-4223-43f3-ad25-c6b6c12a769a,Thermaltake Toughpower GF3 TT Premium,104.99,ATX,gold,750,Full,Black
8f0c903f-e28e-4f68-9230-c757ddb99481,Thermaltake Toughpower GF A3 - TT Premium Edition,169.99,ATX,gold,1200,Full,Black
94259b7d-b298-4422-9147-32de612b4a4a,Corsair SF600,289.0,SFX,platinum,600,Full,Black
8dd0efdf-8413-474c-8427-7d3b63c20c01,SeaSonic S12III,69.0,ATX,bronze,650,False,Black
19ba6b51-1fd5-4299-9cee-1fbd194d22be,Thermaltake Toughpower GF3 TT Premium,222.35,ATX,gold,1650,Full,Black
d7d390f8-431f-49b4-b3ef-edec13998455,Corsair RM1000x,247.6,ATX,gold,1000,Full,
0f2d3495-ab33-4603-af92-54cb1904cc06,EVGA SuperNOVA 750 GM,134.99,SFX,gold,750,Full,Black
9c1cac1e-cd0e-46d4-bd38-0d452abe51b9,be quiet! Pure Power 11,120.31,ATX,gold,400,False,Black
79c2fad9-4d30-435a-9d41-00f9d53885d6,be quiet! Pure Power 11,88.59,ATX,gold,600,False,Black
19bd6314-b402-4faa-b4ad-0146f6346057,Cooler Master V550 V2,85.99,ATX,gold,550,Full,White
950b9edd-c172-444f-ae80-8531eb36491f,Super Flower Legion GX Pro,79.99,ATX,gold,750,Semi,Black
9fd1ef55-7629-4bfd-b8b8-35efee83737d,Corsair CV750,,ATX,bronze,750,False,Black
9dea5711-80bb-4cc7-bc49-e93c8b72e8e3,Thermaltake Toughpower GF3 TT Premium,119.99,ATX,gold,850,Full,Black
abf64511-e7fa-49ec-afba-3952a5d0b593,Enermax REVOLUTION D.F. 2,109.99,ATX,gold,850,Full,Black
9396baca-d622-4437-8745-56137aaa8bc0,SeaSonic PRIME PX-1300,309.89,ATX,platinum,1300,Full,Black
1e3628e5-3c68-432f-befe-6be98b6e987a,be quiet! Dark Power Pro 13,410.72,ATX,titanium,1300,Full,Black
