id,display_name,price,capacity,type,cache_size,form_factor,interface
4680ac45-cd2f-4fc2-b8b3-81073d7d777d,Seagate SuperSpeed HDD,,1000.0,,64.0,2.5,SATA 6.0 Gb/s
5ada0c11-047d-4a92-b1f1-7268dacbd65a,Western Digital Green SN350,81.99,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
d16006eb-1786-490e-9ce9-72ab60051662,Silicon Power UD90,85.97,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
64b931a6-165e-423e-9f1a-50fa3a802a80,Corsair MP600 CORE XT,94.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
8758839d-ff04-4187-bd86-13f2d373ac3e,Samsung 990 Pro w/Heatsink,354.99,4000.0,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
71b20e0a-9a1f-4f29-9b9b-06e0dcc373af,Solidigm P44 Pro,49.99,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
09a1e85e-864f-405b-8c85-fa3c59cf5371,Silicon Power UD85,75.97,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
743ec085-c208-45c1-8007-b9b4006be69c,Crucial BX500,46.99,1000.0,SSD,,2.5,SATA 6.0 Gb/s
fb90420d-426e-4119-bf6f-6e975469e75d,Crucial P5 Plus,39.99,500.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
60814b36-0e03-4782-b880-712f7526b81d,Kingston Fury Renegade,82.59,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
cb53045e-96fb-4681-aef9-1c7315d4399f,Samsung 870 QVO,203.0,4000.0,SSD,,2.5,SATA 6.0 Gb/s
ffc8ba11-ca96-40b0-8e8d-b992a19af4b7,Samsung 970 Evo,85.99,1000.0,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
7653e429-5c57-44f6-a641-6c30800fe0f0,Corsair MP600 PRO XT,969.99,8000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
